seed,policy,tick,mass,massRatio,energy,energyRatio,freeEnergy,occupiedFraction,activity
101,RANDOM,870,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,900,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,930,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,960,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,990,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1020,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1050,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1080,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1110,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1140,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1170,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1200,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1230,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1260,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1290,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1320,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1350,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1380,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1410,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1440,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1470,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1500,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1530,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1560,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1590,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1620,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1650,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1680,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1710,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1740,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1770,0,0.0,0,0.0,2643.264078333974,0,0
101,RANDOM,1800,0,0.0,0,0.0,2643.264078333974,0,0
101,Q_LEARNING,0,232.08000008761883,1.0,185.66400108486414,1.0,2457.60009765625,0.03167724609375,0
101,Q_LEARNING,30,244.522713462502,1.0536138976653981,39.818429956941145,0.2144649998075866,2603.4456722812756,0.033447265625,0.028589717639002643
101,Q_LEARNING,60,235.94101046134892,1.0166365493462273,40.12562276439894,0.21611956291978293,2603.1384782581154,0.0302734375,0.02846765707222776
101,Q_LEARNING,90,156.0885791569017,0.6725636810495194,25.95513097345247,0.13979624925560438,2617.308969130958,0.02264404296875,0.02377020532122298
101,Q_LEARNING,120,153.06404092774028,0.6595313722421273,24.694289905539335,0.13300526629420184,2618.569810213783,0.02203369140625,0.018749632467180533
101,Q_LEARNING,150,155.4358514212072,0.6697511692628593,25.277319833330694,0.13614550847569434,2617.986779842846,0.02197265625,0.018542602581792522
101,Q_LEARNING,180,161.24992431663122,0.6948031896576757,26.415620973268233,0.14227648234939233,2616.848477801759,0.02276611328125,0.019155624255609016
101,Q_LEARNING,210,159.17822537156462,0.6858765309870257,26.69471122572577,0.1437796830281818,2616.5693858619925,0.021728515625,0.019320727776724222
101,Q_LEARNING,240,78.78313644346781,0.33946542749795006,12.88708219727414,0.06941077495891976,2630.3770144114096,0.01104736328125,0.014424081341121386
101,Q_LEARNING,270,79.4268934110878,0.3422392855097432,12.85826212808388,0.06925554794117879,2630.405833492463,0.01092529296875,0.009581074048305993
101,Q_LEARNING,300,77.49322594306432,0.33390738501295997,15.99552034206863,0.08615305201118297,2627.2685747571086,0.01080322265625,0.009426005717195096
101,Q_LEARNING,330,73.8758433572948,0.3183205934565836,11.913067439445058,0.06416465965311056,2631.3510273819847,0.01019287109375,0.009128069101237202
101,Q_LEARNING,360,72.16989376721904,0.3109698971905042,11.317713343116338,0.060958038591138554,2631.9463660255424,0.0091552734375,0.008506477555187075
101,Q_LEARNING,390,75.77131953386561,0.32648793306299173,11.520730117528728,0.06205150190780808,2631.743348732387,0.010009765625,0.008682045646291936
101,Q_LEARNING,420,80.84735651686788,0.34835986076501635,13.176869249671654,0.07097158939092728,2630.0872097954853,0.0113525390625,0.009434027221981278
